"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lyrm9",8.93316177579862e-07,-0.633865660393678,0.008,0.016,0.0307247166116818
"Lrrc45",9.0103760070452e-07,-0.259709565590916,0.004,0.01,0.0309902872386313
"Slc22a5",9.28301368009794e-07,-1.38500470246893,0.004,0.012,0.0319279972513289
"Gm31683",9.62573913318055e-07,-1.20543153865723,0.01,0.023,0.0331067671746612
"Gm10524",9.94567453995984e-07,0.391808328781365,0.024,0.024,0.0342071530127379
"Pabpn1",9.99751623101724e-07,0.518357375865799,0.016,0.016,0.0343854573249607
"Eml5",1.01704925249296e-06,0.282277635872772,0.011,0.015,0.0349803919902428
"Slc17a5",1.05567466793335e-06,-0.269628567974367,0.031,0.043,0.0363088745288996
"Polr2h",1.09054842179734e-06,-0.560492084313764,0.006,0.012,0.0375083224192978
"Hexdc",1.14383553556231e-06,-1.02275719175805,0.005,0.013,0.0393410794101303
"Lipe",1.16577851195732e-06,-0.144538357252911,0.07,0.085,0.0400957861402602
"Ggcx",1.16816312879985e-06,-0.303169699521064,0.005,0.01,0.040177802651942
"Usp53",1.23074505470534e-06,-0.346260855649095,0.03,0.044,0.0423302454115354
"Ppfibp1",1.23269632826787e-06,-0.442672651864986,0.01,0.018,0.042397357514445
"Ago3",1.24066341880003e-06,-0.441729980047274,0.022,0.034,0.0426713776262083
"Asb6",1.24810312093048e-06,-0.510623602922918,0.013,0.023,0.0429272587412828
"Wars2",1.26915948844972e-06,-0.69438039618593,0.007,0.015,0.0436514714457397
"Gm10167",1.33055756465809e-06,-0.202211248262226,0.01,0.016,0.0457631968788505
"Ccnd2",1.33524140953062e-06,-1.00963960506433,0.017,0.031,0.0459242930393961
"Gm12174",1.34260185390133e-06,-0.780787921963421,0.005,0.012,0.0461774481630822
"Gm43848",1.37003825706408e-06,-0.419449044906679,0.015,0.025,0.0471210958134621
"Polr2e",1.38253203776147e-06,-0.363443910916831,0.013,0.021,0.0475508069067681
"Cox5b-ps",1.39452358574459e-06,0.106881398519052,0.011,0.014,0.0479632442080996
"Abcg1",1.39945346554406e-06,0.112968137795627,0.112,0.115,0.0481328024939226
"Gm43462",1.42244565577416e-06,-0.202014470230656,0.01,0.016,0.0489235958846965
"Flnb",1.42685599100681e-06,-0.868110823353489,0.009,0.018,0.0490752849546882
"Gtf2e1",1.42912126263078e-06,-0.120637237792535,0.018,0.024,0.049153196706923
"Kdm5d",1.43108221638066e-06,0.202473332397533,0.035,0.038,0.0492206417501965
"Ptprv",1.45382891123859e-06,-0.268027673638963,0.006,0.011,0.0500029915731399
"H2az1",1.45501926955868e-06,-0.114517553804292,0.58,0.609,0.0500439327572011
"Lrrc8a",1.48347315663902e-06,-0.284642829583149,0.023,0.033,0.0510225757494425
"Rnasel",1.49929873389235e-06,0.14757773725247,0.291,0.276,0.0515668806534936
"Gm20337",1.51843485193825e-06,0.285306512512017,0.019,0.021,0.052225048297564
"6720427I07Rik",1.52508512762395e-06,-0.335801308888819,0.008,0.014,0.0524537778794983
"Fbxw5",1.55116977946719e-06,-0.177326196025489,0.016,0.023,0.0533509333949944
"Gbp2",1.58895321283805e-06,-0.491183937916126,0.073,0.095,0.0546504568023518
"Glb1l",1.60009760473203e-06,-0.322723300728046,0.017,0.026,0.0550337570171534
"Gm7658",1.60734317848173e-06,-0.757158706237576,0.004,0.01,0.0552829612807006
"Kcnq1ot1",1.61423749849522e-06,-0.214331192174,0.019,0.028,0.0555200845232447
"Gpr27",1.63099483823347e-06,0.233452650517007,0.33,0.293,0.0560964364662019
"Gm42715",1.65470400846126e-06,-0.227566873643319,0.011,0.018,0.0569118896670165
"Tyk2",1.69512443445346e-06,0.134500987239877,0.059,0.063,0.0583021097985923
"Gm32591",1.70276398334254e-06,-0.794034665267299,0.007,0.016,0.0585648644430833
"Rsph1",1.70845302579788e-06,-0.423496437985341,0.011,0.02,0.0587605333692924
"Gm26748",1.72631550703919e-06,-1.15064338598832,0.005,0.013,0.059374895549106
"Gm31814",1.76650765186605e-06,-0.129720761087063,0.062,0.076,0.0607572641782808
"Cdh23",1.78562033232444e-06,-0.163149992313004,0.038,0.049,0.0614146257099667
"Nprl2",1.78672022198899e-06,-0.300453717528426,0.007,0.013,0.0614524553150894
"Tg",1.79066864306754e-06,0.625745467826232,0.014,0.014,0.061588257309665
"Ndst2",1.87841285065069e-06,-0.158776415536203,0.035,0.045,0.0646061315852799
"Tars2",1.87929838941754e-06,-0.883656249210694,0.009,0.02,0.0646365888056267
"Rfx5",1.9309897091975e-06,0.51298593959947,0.01,0.011,0.0664144600581388
"9430060I03Rik",1.95227143845463e-06,0.154630731805152,0.048,0.051,0.0671464238542085
"Gm5112",1.97444626996196e-06,0.328487459792596,0.017,0.019,0.0679091050090718
"4732496C06Rik",1.98830996084167e-06,-0.193283113926461,0.018,0.025,0.0683859327931883
"Chil3",2.02118102981279e-06,0.104952742902291,0.707,0.682,0.0695165003393812
"Ermard",2.06179673148212e-06,-0.246426152854776,0.036,0.048,0.0709134367825962
"9330160F10Rik",2.07982151943867e-06,0.142786700690995,0.062,0.065,0.0715333813395735
"Prepl",2.08723809782949e-06,-1.05362171292706,0.007,0.017,0.0717884671367474
"Ftl1-ps1",2.17152659962859e-06,0.110802404776985,0.107,0.11,0.0746874858676259
"Gm48529",2.20085619047784e-06,-0.182777737487207,0.015,0.021,0.0756962478152947
"Zfp157",2.21806242729566e-06,-0.14363328061239,0.017,0.024,0.0762880391244071
"Oas2",2.21818509598147e-06,-0.112008653265037,0.126,0.145,0.0762922581911865
"Tsr3",2.24381740068243e-06,-0.306152820114337,0.016,0.024,0.0771738556790714
"Gm11520",2.28270487778604e-06,-0.703373102434694,0.013,0.025,0.078511351566573
"Mthfsd",2.305275148143e-06,-0.182713040773252,0.013,0.02,0.0792876334452302
"Tmem132d",2.44639221859894e-06,-1.74361091066449,0.003,0.011,0.0841412139664919
"Srcap",2.46749532533843e-06,0.17907310549658,0.015,0.018,0.08486703421969
"Fancc",2.5028787449562e-06,-0.525584706696127,0.006,0.013,0.0860840115540236
"Klhl42",2.51097702850907e-06,0.273425185222687,0.023,0.024,0.0863625439185408
"Rundc1",2.51860473013501e-06,-0.26173159732588,0.025,0.035,0.0866248910882636
"Camk2d",2.56414610677953e-06,-0.119560643222566,0.041,0.052,0.0881912411965752
"Tmem198b",2.5889937654278e-06,-0.4166126246433,0.014,0.023,0.0890458515681237
"Rnf13",2.74439423699396e-06,0.183118405708843,0.296,0.268,0.0943906953871703
"Shld2",2.7523334226464e-06,-0.428000052485915,0.025,0.037,0.0946637557385003
"Dync2h1",2.79347226288708e-06,0.124367921647417,0.028,0.032,0.0960786850097381
"Rhobtb2",2.90398917985161e-06,-0.356463477551333,0.026,0.038,0.0998798038518164
"Slc7a8",2.9381037611508e-06,-0.870841593291337,0.004,0.01,0.101053140761021
"Prdm15",2.9519465498656e-06,-0.494589229917573,0.016,0.026,0.101529249636077
"Gm45716",2.9732255604607e-06,-0.274143899311194,0.007,0.013,0.102261119926485
"Rnft1",3.01550721817145e-06,-0.289765526927329,0.012,0.019,0.103715355261789
"Zfp523",3.08096360501999e-06,0.264002854549191,0.018,0.021,0.105966662231058
"Spata1",3.17129131496827e-06,-0.283825291327184,0.034,0.046,0.109073393487019
"5430425K12Rik",3.20029756246683e-06,-0.673160164348629,0.03,0.048,0.110071034363484
"B3galt4",3.23184932583824e-06,-0.272455387532574,0.009,0.015,0.11115622571288
"Il1b",3.29266310270955e-06,-0.25027183542611,0.248,0.273,0.113247854754592
"Gm14966",3.30495790119579e-06,-0.382858412370627,0.025,0.037,0.113670722053728
"Ptpn23",3.33117108489799e-06,-0.493310191494865,0.026,0.039,0.114572298293982
"C130050O18Rik",3.34020534396174e-06,-0.197103688182952,0.056,0.07,0.11488302260022
"Ralgps2",3.36797197286379e-06,0.456151391648747,0.01,0.011,0.115838028034677
"Penk",3.42009780430735e-06,-1.12211359757056,0.005,0.013,0.117630843881347
"Isoc2b",3.48322174879219e-06,-0.956151793158877,0.007,0.016,0.119801928827959
"Nsmaf",3.50832897772869e-06,-0.251049719229461,0.009,0.015,0.120665466860001
"Gstm4",3.52151551333899e-06,-0.897713741717403,0.004,0.01,0.121119004565781
"Tbc1d10c",3.57433112287015e-06,0.240244459572209,0.126,0.116,0.122935544639996
"Abcd4",3.63620203543069e-06,-0.391978183844187,0.017,0.026,0.125063532806603
"1110002L01Rik",3.67176391910385e-06,-0.451550474281619,0.016,0.026,0.126286648233658
"Gm25313",3.72878114239406e-06,-0.210318798177642,0.007,0.013,0.128247698611501
"Homez",3.72987309003096e-06,-0.232821251144802,0.015,0.022,0.128285255058525
"Ropn1l",3.77523624063371e-06,-1.24224615841057,0.007,0.018,0.129845475260356
"Zfyve21",3.7799041708533e-06,-0.399669608994762,0.006,0.011,0.130006024052328
"B3gnt2",3.88442317599833e-06,-0.466426305872791,0.008,0.016,0.133600850715287
"Gm26782",3.91461530780303e-06,-0.600533850895293,0.007,0.014,0.134639278896577
"Slc25a53",4.05386847229016e-06,-0.473759081597225,0.005,0.011,0.139428752235948
"Abcf3",4.06238141385087e-06,-0.396858706561817,0.024,0.036,0.139721546347987
"Pja1",4.09192213422311e-06,-0.326493852486313,0.025,0.035,0.14073756988447
"Vezt",4.11398161818111e-06,-0.72224540177582,0.006,0.014,0.141496283775721
"Sil1",4.12227634606425e-06,0.231475638652263,0.008,0.01,0.141781572646534
"Trmt10b",4.21715504108591e-06,-0.517644364929214,0.013,0.022,0.145044830483109
"Vwa5a",4.2558056751924e-06,0.375353802496264,0.039,0.036,0.146374180392567
"Gm15459",4.35718433872128e-06,0.101767733079556,0.02,0.024,0.14986099814598
"Camta2",4.37815542262411e-06,-0.108361879564558,0.085,0.1,0.150582277605734
"Acads",4.46054557906608e-06,-0.283675794135656,0.007,0.012,0.153416004646399
"Tnip2",4.4884384703285e-06,-0.371258124358987,0.018,0.028,0.154375352748479
"Dph5",4.54787648979271e-06,-1.4315526055374,0.003,0.01,0.15641966398993
"Ell2",4.55021294930292e-06,-0.102880618863869,0.129,0.148,0.156500024178324
"Gm36279",4.67538343194116e-06,-0.354141311239987,0.015,0.023,0.160805137758184
"Gfod2",4.68350504011544e-06,0.276828980855783,0.009,0.011,0.161084472349731
"Nat9",4.72366393234418e-06,-0.445950418679411,0.012,0.021,0.162465697289046
"Batf",4.73705880686794e-06,-0.281384777788813,0.018,0.029,0.162926400603416
"Shld3",4.76549102060363e-06,-0.287462127615298,0.015,0.023,0.163904298162641
"Dapk3",4.77368689945768e-06,-0.397280489400767,0.01,0.017,0.164186187219947
"Rab11fip2",4.88360009592997e-06,-0.356745266322245,0.015,0.023,0.167966541699415
"Lrrc8c",4.94392469482785e-06,0.345908300666192,0.045,0.041,0.170041345953909
"Ubox5",5.01670807060583e-06,-0.361791526639467,0.01,0.017,0.172544657380417
"Slfn8",5.10896009448767e-06,-0.57492891424203,0.059,0.083,0.175717573489809
"Mocs3",5.11527079566771e-06,-0.115904058954464,0.016,0.023,0.175934623746195
"Primpol",5.14267994590663e-06,0.520633359472237,0.069,0.053,0.176877334059513
"Zfyve19",5.15541613975202e-06,-0.343279417760376,0.011,0.019,0.177315382710631
"Tbcd",5.17457327206256e-06,-0.27505642489145,0.019,0.027,0.17797427311932
"Zmym6",5.41983282025596e-06,-0.410280633130542,0.008,0.015,0.186409730019883
"Wdr73",5.45419888356423e-06,0.386226241553432,0.019,0.02,0.187591716401308
"Lysmd1",5.48866420915681e-06,-0.777393553232497,0.008,0.016,0.188777116809739
"Gm18251",5.59730179476295e-06,-0.266652725346451,0.023,0.032,0.192513597929077
"Alkbh7",5.68579334954467e-06,0.181558202120117,0.011,0.014,0.195557176464239
"D830025C05Rik",5.71023310329558e-06,0.528323051725732,0.023,0.022,0.196397757354748
