gene_id,MUI_Innsbruck.P11_blood_Neutrophil,MUI_Innsbruck.P12_blood_Neutrophil,MUI_Innsbruck.P12_tumor_Neutrophil,MUI_Innsbruck.P13_blood_Neutrophil,MUI_Innsbruck.P13_tumor_Neutrophil,MUI_Innsbruck.P14_blood_Neutrophil,MUI_Innsbruck.P14_tumor_Neutrophil,MUI_Innsbruck.P15_blood_Neutrophil,MUI_Innsbruck.P15_tumor_Neutrophil,MUI_Innsbruck.P16_blood_Neutrophil,MUI_Innsbruck.P16_tumor_Neutrophil,MUI_Innsbruck.P3_blood_Neutrophil,MUI_Innsbruck.P3_tumor_Neutrophil,MUI_Innsbruck.P4_blood_Neutrophil,MUI_Innsbruck.P4_tumor_Neutrophil,MUI_Innsbruck.P5_blood_Neutrophil,MUI_Innsbruck.P5_tumor_Neutrophil,MUI_Innsbruck.P7_blood_Neutrophil,MUI_Innsbruck.P7_tumor_Neutrophil,MUI_Innsbruck.P8_blood_Neutrophil,MUI_Innsbruck.P8_tumor_Neutrophil,MUI_Innsbruck.P9_blood_Neutrophil,MUI_Innsbruck.P9_tumor_Neutrophil
DDX21,117.0,770.0,97.0,712.0,124.0,639.0,446.0,1027.0,742.0,1142.0,344.0,687.0,837.0,649.0,108.0,1809.0,2568.0,544.0,191.0,754.0,140.0,373.0,1010.0
DDX3X,202.0,1377.0,215.0,1610.0,199.0,1262.0,758.0,1523.0,1786.0,3870.0,752.0,1961.0,1583.0,1574.0,263.0,3720.0,4610.0,1652.0,607.0,1676.0,292.0,802.0,1137.0
DDX3Y,63.0,468.0,100.0,434.0,125.0,0.0,0.0,730.0,1108.0,933.0,728.0,365.0,553.0,444.0,147.0,1455.0,3729.0,339.0,249.0,346.0,217.0,58.0,170.0
DDX5,307.0,1753.0,202.0,2763.0,262.0,1611.0,584.0,1513.0,1772.0,5102.0,861.0,1976.0,1344.0,2046.0,265.0,3310.0,3600.0,2147.0,494.0,2115.0,305.0,1287.0,1096.0
DDX6,201.0,662.0,19.0,684.0,22.0,588.0,83.0,621.0,298.0,1417.0,107.0,779.0,161.0,896.0,45.0,1028.0,512.0,582.0,74.0,735.0,34.0,296.0,86.0
DDX60L,149.0,690.0,198.0,655.0,152.0,937.0,827.0,756.0,858.0,1412.0,356.0,861.0,1171.0,2000.0,170.0,1162.0,2249.0,770.0,179.0,708.0,192.0,539.0,2215.0
DEDD2,147.0,1101.0,33.0,1441.0,33.0,1050.0,149.0,1136.0,999.0,2723.0,99.0,1069.0,305.0,1296.0,118.0,1926.0,2237.0,933.0,63.0,1145.0,19.0,851.0,299.0
DEK,80.0,431.0,30.0,625.0,29.0,458.0,128.0,386.0,287.0,1192.0,111.0,459.0,237.0,524.0,33.0,718.0,636.0,395.0,52.0,521.0,29.0,315.0,224.0
DENND3,139.0,577.0,82.0,673.0,68.0,470.0,212.0,448.0,583.0,1199.0,269.0,666.0,552.0,642.0,98.0,774.0,1576.0,404.0,98.0,683.0,51.0,363.0,339.0
DENND4A,67.0,265.0,51.0,202.0,33.0,291.0,299.0,259.0,544.0,430.0,71.0,346.0,433.0,332.0,101.0,598.0,1229.0,232.0,63.0,230.0,52.0,153.0,291.0
