"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptprcap",4.43766566234013e-39,-0.990284082231861,0.045,0.039,1.52629072790526e-34
"Dctpp1",4.93490298255652e-39,0.399717387687391,0.041,0.011,1.69731053182049e-34
"Mcm8",5.03054617069262e-39,7.12141196145582,0.037,0,1.73020604994802e-34
"H3c11",5.12670562047259e-39,9.62519269497055,0.034,0,1.76327913110534e-34
"Gm43305",5.32987980835794e-39,3.74967516304557,0.039,0.001,1.83315886128663e-34
"Adamts10",6.55512755881462e-39,-0.718620781611615,0.058,0.04,2.2545705725787e-34
"Nkiras1",6.69781960649752e-39,-0.461151370705915,0.049,0.025,2.30364807545876e-34
"Ift46",7.31511835328713e-39,-0.407702896361847,0.046,0.023,2.51596180642957e-34
"Rab13",8.06705895083922e-39,1.11214423982504,0.059,0.014,2.77458425555164e-34
"Slc29a1",8.48380561323678e-39,5.42811848242439,0.04,0.001,2.91792010261666e-34
"Ccdc134",9.41978606652571e-39,2.44811496409734,0.048,0.004,3.23984121972085e-34
"Gm37494",9.51103142181049e-39,0.381965184708204,0.068,0.024,3.2712241472175e-34
"Tet1",1.07611602284792e-38,3.57620490069931,0.045,0.002,3.70119344898312e-34
"Nme7",1.09014083543407e-38,2.75961070782327,0.043,0.003,3.74943038939194e-34
"Fbxl8",1.11884483607885e-38,0.688648115312877,0.05,0.013,3.84815492920961e-34
"Gm48444",1.21063598696606e-38,1.28241361060453,0.049,0.009,4.16386141357108e-34
"Gm11342",1.24685329654688e-38,-0.475881194335911,0.063,0.042,4.28842722814334e-34
"Dnajb4",1.26392884788792e-38,0.547465813732899,0.069,0.024,4.34715687942573e-34
"Tent5c",1.3813613944367e-38,-1.08532901346472,0.043,0.035,4.75105438002557e-34
"Ppp1r16a",1.4700556206196e-38,1.136239836057,0.055,0.011,5.05610930155906e-34
"Armcx5",1.49942946978352e-38,0.18822761045378,0.066,0.027,5.15713771837345e-34
"Dhodh",1.50695170724628e-38,3.12442794981649,0.045,0.002,5.18300970190286e-34
"2010110G14Rik",1.56560731516905e-38,-0.580688412524193,0.046,0.027,5.38474979979243e-34
"Tmem35b",1.76675883972142e-38,0.529753944787215,0.057,0.019,6.07659035333786e-34
"Ctss",2.26265017092507e-38,-9.16287990858828,0,0.08,7.78215899787968e-34
"A130014A01Rik",2.28047668076538e-38,-3.52155316174344,0.021,0.074,7.84347149582446e-34
"Bbof1",2.44160755874172e-38,0.923763398111619,0.057,0.014,8.39766503753626e-34
"Rpap3",2.94256457963001e-38,8.2472062260776,0.035,0,1.01206566151794e-33
"Ubox5",3.06798850054599e-38,1.13942895636318,0.053,0.01,1.05520396487779e-33
"Zfp553",3.2136293330328e-38,1.56635990934651,0.053,0.009,1.1052956728033e-33
"Gm19605",3.29122832967224e-38,1.43598848298643,0.046,0.007,1.13198507170747e-33
"Ttll4",3.76571279226518e-38,2.20392224030162,0.049,0.005,1.29517925777169e-33
"Ctu2",3.85097847872445e-38,1.91001725736256,0.048,0.005,1.32450553797249e-33
"Bcl2",3.92231269704408e-38,1.00656006402416,0.05,0.009,1.34904022902134e-33
"Proser3",4.5538559169504e-38,2.99360450945124,0.042,0.002,1.56625320407592e-33
"Gm37305",4.83666452254128e-38,0.476433622379114,0.052,0.016,1.66352239588285e-33
"Gm12504",5.79649945528695e-38,9.5577005210855,0.033,0,1.99364802265139e-33
"Selp",5.86146039053154e-38,-1.80973160989294,0.038,0.048,2.01599068671942e-33
"Gstz1",6.79431245929923e-38,3.84037404461946,0.037,0.001,2.33683582725138e-33
