"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rfc2",1.0061292190903e-05,-0.432984783756364,0.104,0.135,0.346048083613917
"Pcna",1.02410874553937e-05,0.651826210802308,0.071,0.048,0.35223196194081
"Ptpn12",1.06438927345878e-05,0.196848789999574,0.358,0.31,0.366086046713412
"Dnm2",1.10389373026863e-05,0.116929009492955,0.361,0.32,0.379673209588592
"Etv6",1.11474250432603e-05,0.324669841409718,0.204,0.164,0.383404536937896
"Abtb2",1.12530092691766e-05,0.240504224329448,0.258,0.215,0.387036000804061
"Gm47719",1.14077271394927e-05,-0.77374489634683,0.025,0.044,0.392357367235712
"Rps15a-ps6",1.15031184548915e-05,1.05504640165669,0.031,0.015,0.395638256137537
"Abhd12",1.17820655765466e-05,1.21265411261273,0.024,0.01,0.405232363439743
"Gm12481",1.18905539324385e-05,-0.192930274018092,0.327,0.356,0.408963711952291
"Gbp7",1.19779038008754e-05,-0.302727693892997,0.188,0.223,0.41196802332731
"Slco3a1",1.20047825786427e-05,0.218934168699299,0.145,0.118,0.412892492009836
"Dhrs3",1.21407223131744e-05,-0.479880789060692,0.082,0.108,0.41756800323932
"Dennd3",1.24485909109746e-05,-0.248466833913435,0.16,0.177,0.428156835792061
"Cyb5r1",1.25847572629413e-05,-0.266370547036821,0.21,0.241,0.432840141301604
"Rps27",1.28209121777969e-05,-0.115702872629421,0.625,0.658,0.440962453443148
"Hspa1b",1.29572480437921e-05,0.616213645073247,0.063,0.041,0.445651589218186
"Tank",1.2962924032283e-05,0.489097706457067,0.103,0.075,0.445846809166342
"Sumo2",1.32374810354373e-05,0.393309441888432,0.13,0.098,0.455289922732829
"Cstdc4",1.33591246680747e-05,0.267951671447235,0.271,0.227,0.459473733833761
"Zfp710",1.37370437555995e-05,0.154577941044737,0.234,0.202,0.472471882930089
"Camp",1.38384800054201e-05,-0.323212864221526,0.144,0.164,0.475960681306419
"Mgst2",1.38884999008902e-05,-0.711280680409659,0.025,0.042,0.477681065591216
"Tmem43",1.42893274729485e-05,-0.119755917382843,0.285,0.293,0.491467129104589
"Nrm",1.43577102110565e-05,0.622986261392513,0.068,0.045,0.493819084999077
"Gmps",1.52203272310608e-05,1.61073241727116,0.013,0.004,0.523487934785105
"Os9",1.53946093049744e-05,0.236118925683547,0.255,0.213,0.52948219243529
"Hopx",1.55125792995739e-05,0.629102698711274,0.037,0.021,0.533539652429546
"Wdr1",1.55254920553972e-05,0.186467884702203,0.417,0.368,0.533983773753332
"Aamp",1.60743400469762e-05,0.367934375156155,0.166,0.131,0.552860851575699
