"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tomm7",3.90956068356443e-69,0.113583682798795,0.821,0.501,1.34465430150515e-64
"Hmgxb4",4.37380528477922e-69,2.0081882615701,0.408,0.055,1.50432658964697e-64
"Arf6",4.70713748007328e-69,0.17984850147999,0.844,0.5,1.6189728648964e-64
"Sec61g",4.71390296074706e-69,0.111156081899312,0.492,0.242,1.62129978431934e-64
"Nadk2",4.89087432817477e-69,1.07663372752477,0.431,0.101,1.68216731643243e-64
"Shc1",5.38633192125849e-69,0.263570771545466,0.729,0.393,1.85257500099764e-64
"Znrf1",6.04530738981188e-69,-0.485299325009325,0.611,0.469,2.0792230236519e-64
"Dock8",6.45742129516851e-69,-0.234337688372154,0.95,0.759,2.22096548026026e-64
"Prpf38b",7.63128956991752e-69,0.219435414738117,0.592,0.291,2.62470573467743e-64
"Tbk1",7.92805427685996e-69,0.268701687029033,0.481,0.206,2.72677498798322e-64
"Dck",7.98956507144827e-69,0.606163200959666,0.454,0.148,2.74793101067392e-64
"Micos10",8.41952490982195e-69,0.733800143578982,0.473,0.153,2.89581139748416e-64
"Ctdnep1",9.62428575198136e-69,0.746873722418768,0.504,0.17,3.31017684153647e-64
"Map11",1.14430331085016e-68,-0.447339274291922,0.55,0.405,3.93571680733803e-64
"Son",1.17503367589468e-68,-0.315118806846466,0.927,0.762,4.04141082487216e-64
"Zmiz1",1.22175148669097e-68,0.480790277565977,0.496,0.195,4.20209206332491e-64
"Smarcd2",1.24574271614025e-68,0.34138765151966,0.611,0.282,4.28460749789278e-64
"Rb1cc1",1.25892581738487e-68,-0.889012087929523,0.454,0.402,4.32994945631352e-64
"Psmd8",1.26667829307694e-68,-0.148468162119686,0.412,0.214,4.35661332120883e-64
"Dnajc10",1.32638722579861e-68,0.365789167115277,0.485,0.2,4.56197622441175e-64
"Zfp281",1.33066044628889e-68,-0.678237310373736,0.427,0.324,4.57667353896601e-64
"Cct4",1.35760001956839e-68,0.894595944395093,0.424,0.113,4.66932950730353e-64
"Top2b",1.39013299598521e-68,-0.130091617271494,0.565,0.341,4.78122342639153e-64
"Ddx42",1.44334587470951e-68,0.652917490686074,0.508,0.186,4.96424380147588e-64
"Sh3bgrl",1.48324440947414e-68,0.890289972099066,0.634,0.223,5.10147082194537e-64
"Kdm5c",1.50069455211545e-68,-0.195994459676947,0.489,0.296,5.16148884254589e-64
"Nop58",1.62153269420181e-68,10.158116933818,0.275,0,5.57709954843771e-64
"Fam83d",1.62153269420195e-68,10.1729480592375,0.275,0,5.57709954843818e-64
"Klhl23",1.62153269420195e-68,10.3520008384013,0.275,0,5.57709954843818e-64
